Model,MAE_Mean,MSE_Mean,RMSE_Mean,RMSE_Std,R2_Mean
LSTM,6.255686092376709,92.44080657958985,9.541975080672566,1.3188622650857127,0.9980186700820923
TCN,6.643483066558838,107.63903579711913,10.106789196749911,2.6200782263079474,0.9977244973182678
GRU,7.851530838012695,142.8276565551758,11.656999657516028,2.9457629614089402,0.9969468593597413
RNN,8.670772266387939,168.87531356811525,12.405815383074053,4.325947620059453,0.9965594172477722
