Model,Outer Repeat,Fold,Experiment,Density,Cutting Speed,Feed Rate,Experiment ID,MAE,MSE,RMSE,Window Count
RNN,1,2,"(10, 100, 15, 2)",10,100,15,2,3.462881088256836,15.89150333404541,3.9864148472086307,179
RNN,1,2,"(15, 10, 10, 2)",15,10,10,2,9.33395004272461,98.4953384399414,9.924481771857986,179
RNN,1,2,"(15, 10, 20, 1)",15,10,20,1,4.262136936187744,28.396326065063477,5.328820325837931,179
RNN,1,2,"(15, 25, 10, 1)",15,25,10,1,3.5940756797790527,17.412063598632812,4.1727764855828084,179
RNN,1,2,"(15, 25, 15, 1)",15,25,15,1,8.441347122192383,90.43204498291016,9.509576488093996,179
RNN,1,2,"(15, 25, 20, 2)",15,25,20,2,5.396726131439209,35.06262969970703,5.921370593005223,179
RNN,1,2,"(15, 40, 10, 3)",15,40,10,3,5.336188793182373,43.026756286621094,6.559478354764279,179
RNN,1,2,"(15, 40, 15, 3)",15,40,15,3,4.13496732711792,27.678417205810547,5.261028151018634,179
RNN,1,2,"(15, 63, 15, 1)",15,63,15,1,5.404614448547363,38.09306716918945,6.171958130868148,179
RNN,1,2,"(15, 63, 20, 1)",15,63,20,1,4.870673179626465,27.782257080078125,5.270887693745535,179
RNN,1,2,"(15, 100, 15, 3)",15,100,15,3,3.0096850395202637,15.439468383789062,3.929308893913669,179
RNN,1,2,"(15, 100, 20, 2)",15,100,20,2,7.592859268188477,67.68990325927734,8.227387389644257,179
RNN,1,2,"(20, 10, 15, 2)",20,10,15,2,34.09801483154297,1768.3665771484375,42.0519509315375,179
RNN,1,2,"(20, 10, 20, 2)",20,10,20,2,15.847390174865723,370.3247985839844,19.243824946823445,179
RNN,1,2,"(20, 16, 15, 2)",20,16,15,2,8.786772727966309,161.2401580810547,12.698037568106919,179
RNN,1,2,"(20, 25, 10, 3)",20,25,10,3,5.801105976104736,47.37522888183594,6.882966575673308,179
RNN,1,2,"(20, 40, 10, 3)",20,40,10,3,6.073998928070068,54.19175720214844,7.361505090818619,179
RNN,1,2,"(20, 40, 15, 2)",20,40,15,2,15.624485969543457,409.4800109863281,20.235612444063268,179
RNN,1,2,"(20, 40, 20, 3)",20,40,20,3,15.515128135681152,302.4451904296875,17.390951395185013,179
RNN,1,2,"(20, 63, 10, 3)",20,63,10,3,7.439187049865723,75.71808624267578,8.701614002165103,179
RNN,1,2,"(20, 63, 15, 2)",20,63,15,2,3.7348172664642334,23.89599609375,4.888353106492001,179
RNN,1,2,"(20, 100, 15, 2)",20,100,15,2,2.676894187927246,10.815767288208008,3.2887333866107187,179
RNN,1,2,"(20, 100, 20, 3)",20,100,20,3,12.092877388000488,158.6272430419922,12.594730764966442,179
RNN,1,2,"(25, 10, 20, 2)",25,10,20,2,14.877095222473145,292.94268798828125,17.115568585012923,179
RNN,1,2,"(25, 16, 10, 2)",25,16,10,2,12.7074613571167,219.52182006835938,14.816268763368171,179
RNN,1,2,"(25, 25, 10, 2)",25,25,10,2,18.053674697875977,380.1054992675781,19.496294500944998,179
